Designator,Mid X,Mid Y,Layer,Rotation
J2,187.8000mm,-184.1000mm,Bottom,90.000000
BT1,120.2300mm,-115.0000mm,Top,0.000000
C1,195.6000mm,-121.0000mm,Top,90.000000
C2,173.4000mm,-121.0000mm,Top,90.000000
C3,174.4000mm,-129.6000mm,Top,90.000000
C4,175.3000mm,-112.2750mm,Top,180.000000
C5,178.0000mm,-113.0500mm,Top,-90.000000
C6,164.5250mm,-137.7750mm,Top,0.000000
C7,168.3750mm,-137.7750mm,Top,0.000000
C8,172.2250mm,-137.7750mm,Top,0.000000
C9,176.0750mm,-137.7750mm,Top,0.000000
C10,150.0250mm,-104.0750mm,Top,0.000000
C11,153.8750mm,-104.0750mm,Top,0.000000
C12,197.3450mm,-138.6450mm,Top,0.000000
C13,246.2250mm,-104.0750mm,Top,0.000000
C14,246.2250mm,-107.9750mm,Top,0.000000
C15,246.2250mm,-111.8750mm,Top,0.000000
C16,181.1500mm,-165.6000mm,Top,0.000000
C17,181.1500mm,-154.4000mm,Top,0.000000
C18,181.1500mm,-162.8500mm,Top,0.000000
C19,181.1500mm,-157.1500mm,Top,0.000000
C20,175.8000mm,-159.8000mm,Top,90.000000
C21,173.4000mm,-156.4000mm,Top,90.000000
C22,177.0000mm,-156.4000mm,Top,90.000000
C23,168.3000mm,-161.2000mm,Top,90.000000
C24,197.6000mm,-157.4000mm,Top,90.000000
C25,201.2000mm,-157.4000mm,Top,90.000000
C26,199.4000mm,-162.9000mm,Top,0.000000
C27,184.4000mm,-171.0000mm,Top,90.000000
C28,191.6000mm,-171.0000mm,Top,90.000000
C29,232.1000mm,-164.4000mm,Top,90.000000
C30,229.8000mm,-162.6000mm,Top,90.000000
C31,242.5000mm,-156.6000mm,Top,90.000000
C32,229.0000mm,-177.6000mm,Top,180.000000
C33,253.9000mm,-164.4000mm,Top,90.000000
C34,256.2000mm,-162.6000mm,Top,90.000000
C35,233.6000mm,-178.4000mm,Top,90.000000
C36,220.5000mm,-144.5000mm,Top,180.000000
C37,245.8600mm,-178.0000mm,Top,90.000000
C38,235.5000mm,-178.0000mm,Top,90.000000
C39,237.1500mm,-178.0000mm,Top,90.000000
C40,238.8000mm,-178.0000mm,Top,90.000000
C41,240.7000mm,-178.4000mm,Top,90.000000
C42,242.8000mm,-178.4000mm,Top,90.000000
C43,248.0800mm,-163.6000mm,Top,0.000000
C44,249.9850mm,-161.7000mm,Top,180.000000
C45,244.2700mm,-163.6000mm,Top,0.000000
C46,246.1750mm,-161.7000mm,Top,180.000000
C47,239.8250mm,-163.6000mm,Top,0.000000
C48,241.7300mm,-161.7000mm,Top,180.000000
C49,236.0150mm,-163.6000mm,Top,0.000000
C50,237.9200mm,-161.7000mm,Top,180.000000
C51,253.4000mm,-142.2000mm,Top,180.000000
C52,257.0000mm,-142.2000mm,Top,180.000000
C53,253.4000mm,-128.2000mm,Top,180.000000
C54,257.0000mm,-128.2000mm,Top,180.000000
C55,245.4000mm,-142.2000mm,Top,180.000000
C56,249.0000mm,-142.2000mm,Top,180.000000
C57,245.4000mm,-128.2000mm,Top,180.000000
C58,249.0000mm,-128.2000mm,Top,180.000000
C59,237.4000mm,-142.2000mm,Top,180.000000
C60,241.0000mm,-142.2000mm,Top,180.000000
C61,237.4000mm,-128.2000mm,Top,180.000000
C62,241.0000mm,-128.2000mm,Top,180.000000
C63,229.4000mm,-142.2000mm,Top,180.000000
C64,233.0000mm,-142.2000mm,Top,180.000000
C65,229.4000mm,-128.2000mm,Top,180.000000
C66,233.0000mm,-128.2000mm,Top,180.000000
C67,224.5250mm,-185.2750mm,Top,0.000000
C68,228.5950mm,-185.5250mm,Top,0.000000
C69,232.6650mm,-185.2750mm,Top,0.000000
C70,236.7350mm,-185.5250mm,Top,0.000000
C71,240.8050mm,-185.2750mm,Top,0.000000
C72,244.8750mm,-185.5250mm,Top,0.000000
C73,227.7450mm,-194.6250mm,Top,0.000000
